ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.023796296,0.002932865,0.029779017,0.09887951,0.84461236
2,0.8564623,0.0035989713,0.006726034,0.09940301,0.03380969
3,0.2883035,0.0052210265,0.030497123,0.32067537,0.35530296
4,0.28646234,0.009223586,0.020589298,0.21854341,0.46518132
5,0.48718026,0.003863499,0.025514651,0.42237502,0.061066534
6,0.21878104,0.0048204255,0.023798667,0.66277474,0.08982511
7,0.40791944,0.04578127,0.3728101,0.10521722,0.068271935
8,0.85691285,0.012330275,0.018616142,0.025150137,0.086990565
9,0.9142445,0.0015319169,0.0023965244,0.06504954,0.016777573
10,0.49849358,0.0046382025,0.079759985,0.3623722,0.05473604
11,0.71929795,0.0039521507,0.0062924656,0.17572276,0.09473468
12,0.045259897,0.0043780883,0.16160841,0.13879862,0.649955
13,0.6329624,0.0054774773,0.021876367,0.10050044,0.23918335
14,0.8053794,0.0056981286,0.01656571,0.035053145,0.13730356
15,0.95912105,0.0007756746,0.002306771,0.032056473,0.005740075
16,0.8743354,0.0024124773,0.0052574235,0.0976539,0.020340808
17,0.29695925,0.004289213,0.05112836,0.5825343,0.06508883
18,0.58841175,0.0027983305,0.012665311,0.3702859,0.025838716
19,0.18315294,0.007061419,0.01980257,0.11028651,0.67969656
20,0.012096844,0.0065799262,0.16721612,0.016407536,0.7976996
21,0.60553974,0.0044397986,0.021032408,0.28645533,0.08253269
22,0.0019342758,0.0089983065,0.037504997,0.00402968,0.9475328
23,0.7863056,0.0024332257,0.010625877,0.11498844,0.08564684
24,0.004254081,0.006823404,0.031492464,0.004174402,0.95325565
25,0.858765,0.004196551,0.01077151,0.08758366,0.038683236
26,0.211608,0.015133512,0.087788925,0.067109,0.6183605
27,0.92989564,0.0023747762,0.0035256199,0.007085839,0.057118084
28,0.08785724,0.034078658,0.26114845,0.023857629,0.593058
29,0.3476631,0.0032147472,0.044231895,0.52701044,0.07787978
30,0.34648255,0.003705622,0.019642655,0.552713,0.0774562
31,0.21629064,0.011087354,0.06442179,0.10947458,0.5987256
32,0.749285,0.0038429003,0.004926971,0.06826505,0.17368007
33,0.07085848,0.010476502,0.14364834,0.06438254,0.7106341
34,0.9876338,0.0013994005,0.0014717102,0.004180234,0.005314802
35,0.54956794,0.023900008,0.021369237,0.010520559,0.39464226
36,0.527629,0.00396872,0.033062458,0.25644228,0.17889754
37,0.03614129,0.0141051635,0.103091896,0.00874379,0.83791786
38,0.936096,0.001473922,0.002350038,0.024387423,0.035692617
39,0.3371204,0.0028894302,0.025490774,0.51802236,0.116477035
40,0.4864553,0.005452596,0.06875157,0.042436685,0.3969039
41,0.15554585,0.007363467,0.023973124,0.2353461,0.5777715
42,0.0016662028,0.007641058,0.0064305724,0.0013612983,0.9829009
43,0.2833423,0.0034800863,0.013843923,0.047277138,0.6520566
44,0.002465538,0.016435998,0.014077362,0.0030310964,0.96399
45,0.15241316,0.011660348,0.33247805,0.067027085,0.43642142
46,0.32845837,0.007614857,0.06703522,0.05107199,0.5458196
47,0.18752006,0.004001596,0.035252333,0.16767336,0.6055526
48,0.49379602,0.004755767,0.059594408,0.22976466,0.21208917
49,0.20087214,0.0037169266,0.01769417,0.61619794,0.16151881
50,0.031559285,0.0038419603,0.025492625,0.15097487,0.78813124
51,0.16606012,0.024636492,0.050031126,0.019476496,0.7397958
52,0.28139654,0.0042458414,0.02058543,0.6027639,0.09100835
53,0.9715381,0.003246342,0.002849804,0.008413777,0.013951935
54,0.07008571,0.011312423,0.02048391,0.0051442026,0.8929738
55,0.03504121,0.02337251,0.23305675,0.03812997,0.67039955
56,0.34213904,0.0068878043,0.07853903,0.23433353,0.3381006
57,0.6679169,0.0042753033,0.01764141,0.24577765,0.06438878
58,0.00322031,0.039021626,0.042582497,0.0049010413,0.91027445
59,0.0014247177,0.0033618656,0.0127647,0.0017582625,0.9806904
60,0.80128294,0.0026802192,0.005762805,0.043486957,0.14678708
61,0.8083054,0.0038522559,0.023520015,0.038745932,0.12557639
62,0.10337987,0.0027514254,0.07644439,0.61924046,0.19818388
63,0.42438325,0.0049206596,0.020817816,0.3052738,0.24460451
64,0.0020164887,0.010383341,0.024444984,0.0016268973,0.96152824
65,0.0036902225,0.0040108934,0.010809178,0.0010695577,0.9804201
66,0.8978331,0.0018571138,0.0039943936,0.08299095,0.013324437
67,0.9476045,0.0021961357,0.0033510774,0.007170289,0.03967804
68,0.10189396,0.00736577,0.09956053,0.5731161,0.21806361
69,0.23552117,0.0033135207,0.023193441,0.63084036,0.107131496
70,0.0014796541,0.0027618243,0.0055141407,0.0013493318,0.98889506
71,0.018562406,0.0073881214,0.031901166,0.017595863,0.9245525
72,0.941438,0.0016362094,0.0020862257,0.025046216,0.029793384
73,0.0033642228,0.063142456,0.07318138,0.005610084,0.8547018
74,0.27749518,0.0028592146,0.010445455,0.12227502,0.58692515
75,0.0021281124,0.005426241,0.006643224,0.0026830095,0.9831194
76,0.7112326,0.022385892,0.023620438,0.016015306,0.22674574
77,0.94024044,0.0016432987,0.0024741706,0.0033682527,0.052273802
78,0.019799564,0.007270968,0.050534576,0.0054435614,0.9169513
79,0.44301474,0.004771857,0.03460363,0.21820983,0.29939994
80,0.9798284,0.0023738025,0.0022210968,0.0063063935,0.009270284
81,0.0033638615,0.014802768,0.016105719,0.0025504865,0.9631772
82,0.0012905295,0.0039863,0.015344103,0.003763954,0.9756151
83,0.761247,0.0029427886,0.011573368,0.16204645,0.062190488
84,0.0061462517,0.045730323,0.06080281,0.0064916145,0.88082904
85,0.20169637,0.0036249247,0.051892865,0.6531713,0.0896145
86,0.088560194,0.027242146,0.13381197,0.011016536,0.73936915
87,0.07278434,0.004969251,0.29715216,0.3544458,0.27064845
88,0.33726555,0.004920573,0.15670061,0.24717289,0.25394037
89,0.015127116,0.0075282683,0.3210565,0.02330547,0.6329827
90,0.8002796,0.003447745,0.0049423864,0.0137017565,0.17762852
91,0.0050305077,0.008737324,0.13227566,0.0048424494,0.849114
92,0.0021989308,0.0036648987,0.05511456,0.0033019336,0.93571967
93,0.8439859,0.0022673756,0.0084527945,0.0064482647,0.13884568
94,0.42405248,0.00510953,0.018647209,0.38840437,0.16378644
95,0.008861208,0.006746966,0.02612809,0.0040569254,0.9542068
96,0.9040112,0.002021064,0.010566022,0.06840679,0.014994957
97,0.6378969,0.0036217396,0.01668575,0.2728205,0.06897512
98,0.0022409596,0.004646437,0.010776335,0.001509735,0.9808265
