AnimalID,NameBinary,NameLen,NameFreq,AnimalTypeBinary,AgeuponOutcomeProc,AgePrec,Month,Day,Hour,TimeOfDayPrec,YearPeriodPrec,Weekday,DayName,Intact,Sex,BreedPrec,ColorPrec,OutcomeTypePrec
A671945,1,7,6,1,365,3,2,12,18,3,1,0,2,1,1,97,25,4
A656520,1,5,25,0,365,2,10,13,12,2,2,1,6,1,0,106,21,3
A686464,1,6,2,1,730,3,1,31,12,2,1,1,5,1,1,60,26,1
A683430,0,3,10916,0,21,1,7,11,19,3,4,0,4,0,1,106,26,5
A667013,0,3,10916,1,730,3,11,15,12,2,2,0,4,1,1,76,6,5
A677334,1,4,18,1,30,1,4,25,13,2,3,0,4,0,0,27,27,5
A699218,1,5,19,0,21,1,3,28,13,2,1,1,5,0,1,106,26,5
A701489,0,3,10916,0,21,1,4,30,17,3,3,0,3,2,2,106,25,5
A671784,1,4,128,1,150,1,2,4,17,3,1,0,1,1,0,18,11,1
A677747,0,3,10916,1,365,3,5,3,7,1,3,1,5,1,0,30,2,1
A668402,0,3,10916,0,730,2,12,5,15,2,5,0,3,2,2,106,27,5
A666320,0,3,10916,1,730,3,11,4,14,2,2,0,0,1,0,28,7,1
A684601,1,6,11,1,1460,5,2,3,11,2,1,0,2,1,1,60,25,1
A704702,1,7,23,1,730,3,6,8,16,3,4,0,0,1,1,79,27,4
A688584,1,7,7,1,365,3,11,25,15,2,2,0,2,1,1,7,2,4
A678825,1,6,58,0,90,1,7,12,12,2,4,1,5,1,1,106,13,1
A678050,0,3,10916,0,21,1,5,3,16,3,3,1,5,0,1,106,25,5
A680028,0,3,10916,1,14,1,6,7,12,2,4,1,5,0,0,60,25,5
A679010,1,7,8,0,730,2,5,17,11,2,3,1,5,0,0,129,2,5
A684787,1,4,4,1,365,3,7,30,17,3,4,0,2,1,1,37,27,4
A670658,1,6,1,1,60,1,1,19,15,2,1,1,6,0,1,97,27,5
A708812,1,8,6,0,365,2,9,18,15,2,2,0,4,1,0,106,2,5
A705262,1,7,1,1,730,3,8,15,14,2,4,1,5,1,0,8,25,1
A665781,1,7,2,1,300,2,10,28,16,3,2,0,0,1,1,97,25,1
A676333,1,7,7,1,60,1,4,9,17,3,3,0,2,1,1,97,27,4
